posting_id,sentence
train_129225211,paper bag victoria secret
train_3386243561,"double tape 3m vhb 12 mm x 4,5 m original / double foam tape"
train_2288590299,maling tts canned pork luncheon meat 397 gr
train_2406599165,daster batik lengan pendek - motif acak / campur - leher kancing (dpt001-00) batik karakter alhadi
train_3369186413,nescafe \xc3\x89clair latte 220ml
train_2464356923,celana wanita  (bb 45-84 kg)harem wanita (bisa cod)
train_1802986387,jubah anak size 1-12 thn
train_1806152124,kulot plisket salur /candy plisket /wish kulot premium /kulot pelangi premium/hieka kulot
train_86570404,"[logu] tempelan kulkas magnet angka, tempelan angka magnet"
train_831680791,big sale sepatu pantofel kulit keren kerja kantor laki pria cowok dinas resmi formal pesta kickers
train_1598329973,atasan rajut wanita lisdia sweater
train_2496690777,pashmina kusut rawis polos crinkle shawl murah banget
train_2771755203,pashmina kusut rawis polos crinkle shawl murah banget part 2
train_998568945,lampu led t5 speedometer dashboard motor mobil 5050 speedo bright
train_4287573913,charger vizz vz-tc11 / batok charger vizz 1a original real kapasitas
train_4196427721,korek kuping led untuk balita cherrybabykidsshop sp lc
train_3009013664,marks & spencer - rose hand & body lotion 250 ml
train_3054371232,"saffron 0,25 gr s.d 2 gr super negin premium quality original"
train_2985955659,hnkfashion sweater hoodie who printing babyterry - fit l
train_2961381387,madame gie makeup blush on by gisell
train_999391364,safi dermasafe night moisturiser 50 gr
train_2238403912,kangaroo teflon / allu fry pan 18 cm - kg652
train_1396146683,choco ball lagie coklat lagie grosir cokelat lagie murah chocoball kiloan chocobal coklat kiloan 1kg
train_1180155871,[include pajak] nct dream reload album
train_1872347548,stand hanger multifungsi - tiang gantungan baju jaket syal 9 hook
train_249329869,sambal petis bumbu udang pedas boyya 270 gram petis siap saji bogajaya
train_2905529497,masker medis 3ply earloop (50pcs) - masker 3ply disposable isi 50pcs - masker 3ply murah
train_3466601092,[shiyan] mainan gigitan bayi set pack baby teether melatih gigi bayi diatas 3 bulan atau lebih
train_1572286671,pakaian dalam cewek wings bra  bra tempel seamless  push up bra  bh wanita import
train_3117535609,wings bra-bra tempel seamless - push up bra - strapless wing bra - bra tempel - bh tempel
train_1617041019,molina kaftan / yadita sparkle kaftan / keanu diamond kaftan / talisha kaftan
train_2410183091,b33f my food shop shopping trolley - st. 003 troli mainan edukasi anak keranjang belanja
train_1461445798,alat facial wajah 5 in 1 / face beauty care massager 5 in 1 jk
train_1449570166,citra tone up pearly white body lotion 180 ml / 180ml
train_1327117441,jam tangan pria sporty quicksilver ocean day date kulit
train_1640409557,chil kid gold vanila 800gr
train_2720300071,laneige cica sleeping mask sample 10ml original masker wajah leneige masker tidur lanege
train_3906985249,benton fermentation eye cream 30ml
